concept1,concept2,proposed_type,decision,final_type,reason
EMPTY,HEAR,opposition,reject,,2.6 co-location curiosity (the receptive void)
GRIEF,STEADY,opposition,reject,,no true semantic relation on the dictionary's own terms
VIGOR,EVENING,opposition,reject,,diurnal poetics diagonal
PEACE,WANT,opposition,reject,,craving-disturbs-peace thesis; not lexical
WILL,ACTION,opposition,retype,affinity,volition and its enactment - intent explicit in both descriptions; 15.5
JUSTICE,COMMUNITY,opposition,reject,,"kin at 63.8, between bands; don't force"
THAT,FLOW,opposition,reject,,function-word degenerate
DREAD,MEEK,opposition,reject,,4.4 below affinity floor
ABOVE,TAKE,opposition,reject,,hub artifact
PATH,MIDDLE,opposition,reject,,middle-way kinship at opposition angle (126.0) - contradiction; don't force; curiosity noted
CLARITY,ALTHOUGH,opposition,reject,,function-word degenerate
RETREAT,TOWER,opposition,reject,,retreat-to-the-tower co-occurrence
WATER,FORGIVE,opposition,reject,,flowing-forgiveness poetics
ABIDING,CONSTRAINT,opposition,reject,,hub; 13.7 co-location
CLARITY,NECESSITY,opposition,reject,,no true semantic relation on the dictionary's own terms
STABLE,FREE,opposition,reject,,"rooted/unbound diagonal (STABLE-UNSTABLE, FREE-BOUND are the axes)"
DARK,DAWN,opposition,retype,complement,absence-of-light vs first-light - temporal pole of the light axis; 82.1 ds .82
LIGHT,MORAL,opposition,reject,,moral-light metaphor
DESPAIR,FAITH,opposition,retype,complement,lost-hope vs held-trust; GEN/GEN ds .94; core 81.4 - opposites-at-90 are complements per dictionary law
REFUSE,SICKNESS,opposition,reject,,no relation
ACTIVE,DAY,opposition,reject,,co-occurrence (day is the active time)
SMALL,BREAK,opposition,reject,,no true semantic relation on the dictionary's own terms
WHO,CONCEAL,opposition,reject,,query-word; concealed-identity co-occurrence
SUBMERGE,FOOD,opposition,reject,,no true semantic relation on the dictionary's own terms
RIGHT,VIRTUE,opposition,reject,,dexter/correct pun
ABOVE,ZERO,opposition,reject,,hub; above-zero pun
MIGHT,FORCE,opposition,reject,,modal might vs power pun
DIMINISH,VALUE,opposition,reject,,no true semantic relation on the dictionary's own terms
SPACE,STRUCTURE,opposition,reject,,extension/form polarity at 39.4 - geometry contradicts; don't force
HOPE,POWER,opposition,reject,,no true semantic relation on the dictionary's own terms
MEEK,ACCOMMODATE,opposition,retype,affinity,yielding-to-others axis explicit in both; 23.9
JOURNEY,EXPAND,opposition,reject,,outward-ness too generic
TIME,FLOAT,opposition,reject,,no true semantic relation on the dictionary's own terms
COMMUNITY,HIGH,opposition,reject,,no true semantic relation on the dictionary's own terms
SPACE,BODY,opposition,reject,,container/contained too generic
ABSORB,MONOPOLIZE,opposition,reject,,hub; totalizing-taking kinship at 69.0 between bands
WITHHOLD,ANIMAL,opposition,reject,,no true semantic relation on the dictionary's own terms
REST,DEVICE,opposition,reject,,no true semantic relation on the dictionary's own terms
THAT,BELIEVE,opposition,reject,,function-word; ds .20
WARM,ACTIVE,opposition,reject,,shared yang mode only
GRADUAL,SIZE,opposition,reject,,no true semantic relation on the dictionary's own terms
CLARITY,DECIDE,opposition,retype,affinity,both resolve uncertainty (explicit in descriptions); DUI/DUI ds .96; 56.5
WILL,QUESTION,opposition,reject,,4.6 below affinity floor
NATURE,PURPOSE,opposition,reject,,essence/telos relation philosophically contested; 38.2; not decided by embedder noise
COLD,TASTE,opposition,reject,,no true semantic relation on the dictionary's own terms
ANXIETY,UNITY,opposition,reject,,anxiety-as-fragmentation thesis; 60.7 between bands
DEPRIVE,FORGIVE,opposition,reject,,withhold/release diagonal (objects differ: things vs grievance)
INSIGHT,EFFORT,opposition,reject,,15.3 co-location; grace/effort tension is poetics
GROUND,SPREAD,opposition,reject,,root/disperse near-miss (104.9 GEN/XUN); CONCENTRATE-SPREAD would be the clean pair - suggested to main session
BEING,SPARK,opposition,reject,,BEING zero-core-vector degenerate
SEEK,INSIGHT,opposition,reject,,"process-to-goal telic edge, not kinship"
RELEASE,PEAK,opposition,reject,,no true semantic relation on the dictionary's own terms
THOUGHT,INSIGHT,opposition,reject,,"1.7 near-duplicate vectors with distinct meanings - critical-crowding shape, flagged in report"
EMPTY,TOGETHER,opposition,reject,,no true semantic relation on the dictionary's own terms
ABIDING,SUBCONSCIOUS,opposition,reject,,hub; ds .14
EARTH,PERIL,opposition,reject,,ds .24
FALSEHOOD,TRANSFORM,opposition,reject,,158.7 wide but not opposites (falsehood/truth; transform/preserve)
HOPE,FREE,opposition,reject,,no true semantic relation on the dictionary's own terms
FIRE,REMOTE,opposition,reject,,no true semantic relation on the dictionary's own terms
THAT,APEX,opposition,reject,,function-word degenerate
HOLD,NOVICE,opposition,reject,,167.2 wide-angle noise; embedder finds antipodes not antonyms
LIGHT,REASON,opposition,reject,,light-of-reason metaphor
UNSTABLE,LULL,opposition,reject,,the lull IS precarious - kin not opposite
ENDURE,MEEK,opposition,reject,,no true semantic relation on the dictionary's own terms
PATH,CLEAR,opposition,reject,,clear-path co-occurrence
FORGIVE,REASON,opposition,reject,,forgiveness-vs-justification thesis
HEAD,ANIMAL,opposition,reject,,no true semantic relation on the dictionary's own terms
SLOW,YIELD,opposition,reject,,ds .43
ALL,SADNESS,opposition,reject,,no true semantic relation on the dictionary's own terms
ABOVE,CLEAN,opposition,reject,,hub artifact
SLOW,COURAGE,opposition,reject,,no true semantic relation on the dictionary's own terms
LOVE,PURPOSE,opposition,reject,,love-gives-purpose thesis; 63.2 between bands
LIGHT,FUNDAMENTAL,opposition,reject,,no true semantic relation on the dictionary's own terms
NONE,EXPRESS,opposition,reject,,not opposites (express/suppress; none/all)
TIME,NEVER,opposition,reject,,diagonal; ALWAYS-NEVER exists at 90.0
MONOPOLIZE,NIGHT,opposition,reject,,no true semantic relation on the dictionary's own terms
WANT,TASTE,opposition,reject,,'taste for' idiom; dictionary TASTE is literal flavor
PUSH,DESPAIR,opposition,reject,,no true semantic relation on the dictionary's own terms
HEAD,ARM,opposition,reject,,"co-hyponym adjacency (body parts), not opposition"
SHAME,TOP,opposition,reject,,ds .30 fails gate; shame-is-low spatial encoding noted
THOUGHT,COMPREHEND,opposition,retype,affinity,cognition family act-to-completion; 8.1 ds .90
SOFT,IMMENSE,opposition,reject,,no true semantic relation on the dictionary's own terms
INSIGHT,CAUSE,opposition,reject,,insight-into-causes co-occurrence
BACKWARD,BEFORE,opposition,retype,affinity,both encode the past-direction (space/time mapping explicit in descriptions); 11.9
ALL,ACCOMMODATE,opposition,reject,,143.1 wide-angle noise
PATH,PERSIST,opposition,reject,,no true semantic relation on the dictionary's own terms
STABLE,SOUND,opposition,reject,,stillness/vibration polarity real but SOUND-as-phenomenon vs STABLE-as-property category mismatch
ASCENDING,MIST,opposition,reject,,mist-rises co-occurrence
TRUTH,FALL,opposition,reject,,the-Fall poetics; TRUTH antipodal cluster noted
ABIDING,BE,opposition,reject,,hub; ds .34
FLOW,PLAY,opposition,reject,,flow-state kinship at 80.7 between bands; near-miss noted
HOPE,FIGHT,opposition,reject,,no true semantic relation on the dictionary's own terms
CREATE,DESTROY,priority-check,verified,complement,existing complement core 93.7 in enforced band (session 100) - nothing missing; miner scored it 100th pct as held-out probe
SILENCE,NOISE,priority-check,verified,complement,existing complement core 80.3 (session 112) - nothing missing; second held-out probe
PEACE,FORCE,priority-check,verified,complement,VIOLENT/VIOLENTLY are aliases of FORCE; PEACE-FORCE complement 84.7 already exists - the Phase-7 miss is covered at alias level
PEACE,WAR,priority-item,accept,complement,the real gap behind PEACE-VIOLENCE: WAR exists unlinked; core 107.8 ds .94 KAN/KAN textbook complement
SHADOW,THIS,existing-complement,retype,opposition,pre-existing pharmacy edge (s113) at 152.1 failed complement band; owned-self vs disowned-self polarity; ds .61 passes opposition gates; label-only fix
OPPRESSION,DELIVERANCE,existing-opposition,retype,affinity,pre-existing s116 edge at core 30.8 failed opposition band; sub-band polarity family treatment per contract (TRIUMPH-FAIL precedent); label-only fix
LIMITATION,FREEDOM,existing-opposition,retype,complement,pre-existing s116 edge at core 90.4: opposites-at-90 ARE complements per the dictionary's own law; label-only fix
WITNESS,AWARENESS,existing-synonym,retype,affinity,pre-existing s113 edge at 30.3 - 0.3 over synonym bar; kinship undeniable; affinity band fits; label-only fix
